1998  Mitsubishi Pajero Pinin (IO),"135000 կմ , Կուպե, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն","31.12.2025 Հայաստան, Մաքսազերծված"
$ 4 500,2019  Mercedes-Benz CLA 250,"59047 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև","14.02.2025 ԱՄՆ, Աճուրդում"
$ 6 800,2021  Toyota Highlander,"57261 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ"
$ 18 500,2019  Nissan Murano,"58611 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","18.03.2025 ԱՄՆ, Աճուրդում"
$ 4 700,2022  BMW iX,"10 կմ , Ամենագնաց, Էլեկտրական, Ավտոմատ, 300, Ձախ, Սև","17.02.2025 ԱՄՆ, Աճուրդում"
$ 31 500,2022  Audi Q8,"39975 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","11.03.2025 Գերմանիա, Մաքսազերծված չ"
€ 57 100,2024  Porsche Cayenne,"10 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","28.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 132 000,2022  BMW X7,"34451 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","14.02.2025 ԱՄՆ, Աճուրդում"
$ 37 600,2024  BMW X7,"15502 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","27.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 78 600,2021  BMW X6,"47778 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","14.02.2025 ԱՄՆ, Աճուրդում"
$ 33 000,2023  Audi Q7,"25763 կմ , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն","21.02.2025 Գերմանիա, Մաքսազերծված չ"
€ 62 000,2021  BMW X3,"46477 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Սև","14.02.2025 ԱՄՆ, Աճուրդում"
$ 18 800,2002  Mercedes-Benz C 320,"150000 կմ , Սեդան, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն, Մոխրագույն, 3.2"
$ 7 000,2021  Lexus NX 300h,"30236 մղոն , Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","22.03.2025 ԱՄՆ, Աճուրդում"
